Country,Family,Leisure time,Friends,Religion,Work,Politics
ALB,95.9,13.7,32,27.5,81.5,8.1
DZA,94.4,23.8,35.6,90.6,92.4,15
ARG,90.2,35.1,49.7,46.3,73.4,8.9
BGD,96.7,23,31.9,87.5,91.3,19.7
BIH,98.7,43.3,70.6,34,74.6,10.9
CAN,93.9,38,60.2,30.1,52.1,9
CHL,96.4,53.3,29.1,46.3,74.8,9.1
CHN,60.2,7.1,19.9,2.5,49,15.1
IND,91.9,27.7,39.2,55.8,76.5,17.9
IDN,99,17.2,56,98.1,88.8,9.5
IRN,94.1,28.5,29,78.9,77.3,16.7
IRQ,97.3,30.5,59.6,93.5,85.2,25.4
JPN,91.3,42.3,46.6,6.4,46.6,20.3
JOR,96.6,17.2,47.4,95.9,64.7,15.9
KOR,89.6,23.8,44.8,23.2,62.3,15
KGZ,87.2,24.8,47.5,31.6,54.8,15.2
MEX,96.6,49.7,37.8,67.7,86.1,17.9
MDA,85,24.2,34.9,33.9,40.1,8.1
MAR,93.4,38.6,37.2,95.6,89,10.9
NGA,98.9,51.7,63.6,92.8,88.2,27.7
PAK,92.6,4.9,19.4,81.8,60.3,5.2
PER,82.4,22.8,24.6,52.5,68.2,20.6
PHL,98.6,15.3,36.8,86.8,93.4,21.9
PRI,95.7,52.5,32.2,75.4,73.9,15.1
SAU,94.7,30.4,53.1,88.7,61.5,25.6
SGP,91.8,26.3,39.5,35.9,52.3,10
ZAF,95.2,35.4,34.3,69.7,79.3,20.4
GRC,97.9,41.2,49.2,47,75.7,13.9
EGY,96.4,9.1,37.3,97.3,71.5,12.6
KOS,92,30.4,57.5,28.7,53.8,4.6
MNE,92.3,24.3,42.8,18.9,57,5.9
