Country,Family,Leisure time,Friends,Religion,Work,Politics
AND,86.7,50.9,48.8,7.9,46,6.3
ARG,91.4,40.1,59.4,33.1,70.4,8.4
AUS,93.7,44.8,57.6,19.2,34.5,9.6
BRA,86.4,27,37.1,50.5,65.3,14.6
BGR,89.4,27.6,42.2,18.4,49.7,6.9
CAN,92.4,40.7,63.1,31.8,48.2,11.7
CHL,90.2,47.2,23.6,39.6,62.3,5.6
CHN,78.1,11.4,30.3,5,43.7,13.3
CYP,93.3,50.8,61.6,53.5,55.1,13.3
ETH,92.7,47.3,78.9,80.5,89.3,36.9
FIN,86.7,42.6,62.2,17.6,40.1,2.6
FRA,86.2,37.6,58.7,13,62.2,11.9
GEO,98.7,39.3,78.1,79.5,77.9,19
DEU,81.5,29.7,52.4,11,49.6,9.4
GHA,94.4,52,42.8,89.9,92.7,24.9
GTM,98.4,59.1,43.9,83.6,95.1,19
HKG,55.4,23.6,33.1,5.1,26.1,3.7
HUN,86.4,33.4,41.4,17.1,55.1,8.7
IND,90.1,23.6,42.3,49.7,67.9,14.4
IDN,97.4,22.5,56.4,94,85.3,10.7
IRN,93.7,35.9,29.4,78.2,76.5,20
IRQ,95.9,31.2,59.7,95.6,82.2,35.5
ITA,93,31.1,47,34,60.9,9.3
JPN,91.3,40.3,44.9,5.7,47.4,19.7
JOR,96.8,36.1,62.8,94.4,66.7,20.6
MYS,96.2,39.3,43.3,80.4,70.4,13.4
MLI,91.5,34,57,88.1,85.3,21.5
MEX,94.9,54.9,36.1,58.7,84.9,19.7
MDA,83.1,20.8,23.1,31.7,43.4,4.6
EGY,97.7,13.3,43.2,95.4,63.1,9.1
BFA,94.7,19.7,55.2,82.8,89.2,17.3
