Country,Family,Leisure time,Friends,Religion,Work,Politics
DZA,93.1,37.8,49.2,90.7,76,20.3
AZE,93.9,21.3,40.7,35.9,67.3,7.7
ARG,88.9,33.7,53.9,24.1,57.4,8.3
AUS,92.5,41,55.6,14.1,30.2,7.8
BHR,47.8,21.9,38,40.6,24.8,22.2
ARM,96.9,27.1,42.9,57.5,70.9,9.3
BRA,87.4,32.8,33,51.5,63.6,12.5
BLR,88.3,37.1,42.7,15.9,45.2,8
CHL,91.7,56.1,35.1,23.8,56.3,7.4
CHN,85.7,21.2,46.6,2.6,38.1,10.4
COL,85.1,49.4,30.7,58.9,76.3,9.8
CYP,92.5,55.9,60.6,51.1,66.4,13.3
ECU,98.6,55.9,32.6,67.1,88.5,21.1
EST,88,40.8,50.9,7.6,53,5.5
GEO,98.4,32.4,74,84.9,73.1,10.2
DEU,77.6,31.6,50.9,13.1,39.4,10.1
GHA,95.9,51.9,45.7,91.1,94.8,22.5
HKG,85.1,33.5,41.5,12.1,31.5,8.8
IND,94.9,34.9,44.9,67.1,77.3,17
IRQ,92.9,16.8,47.8,84.7,66,12.2
JPN,90.8,42.3,45,5.4,52.1,23.5
KAZ,92.4,42.3,48.4,21.5,61.9,11.6
JOR,95.8,33.6,50.7,93.3,68.1,14.5
KWT,93.2,33.8,54.3,86.5,75.8,31.2
KGZ,96.5,23.6,30.5,39.3,63.7,12.3
LBN,75.1,37.1,51.9,52.9,62.4,20.8
LBY,96.9,41.4,61.3,94.9,78.9,27.7
MYS,97.7,39.2,44.8,84.8,82.8,17.8
MEX,97.6,59.2,38.6,58.4,87,17
MAR,90.7,16.9,35.8,88.9,82.5,6.2
NLD,85.5,40.4,49.6,10.7,29.5,3.3
EGY,97.4,21.1,54.9,94.1,61,31
